Pop,Cs39,Cs40,Cs03,Cs34,Cs42
12,169169,224224,,185185,
13,169169,230230,,185185,
13,171185,224224,,185195,
13,173173,224224,222222,185195,
13,171171,224224,,185197,170170
13,171171,224224,,193193,
13,171185,224224,,185185,
13,171173,224230,220224,199199,
14,169169,230230,222224,187189,
14,171171,224224,222224,193193,150158
14,165169,,,189201,150158
14,173173,220224,220220,185203,184184
14,169171,230230,222222,185185,
14,169169,224224,220224,185189,
14,169169,224224,,185195,
14,173173,224224,220224,185193,184184
14,173173,220220,222224,189203,
14,171171,224224,220226,187195,
14,169171,224224,220220,185185,
14,171185,224224,220220,185193,
14,169185,224224,226230,193193,184184
15,169173,222224,218226,187195,
15,173173,222222,,185185,154154
15,169173,220220,,195203,
15,171171,222228,,185193,134134
15,173173,220224,,195195,
15,171171,222222,226226,187195,
15,177177,224224,,187191,
15,173173,,,185185,
15,165171,222222,220226,185189,
15,171171,220220,,183187,
15,185185,222224,,185195,
15,171173,222222,,185185,
15,173173,222222,,185185,
15,171171,222222,,185185,190190
15,171171,222222,218224,187195,
15,171171,220220,,185185,
15,173173,224224,,189195,160160
15,171171,232232,,201201,
15,171183,224224,,187195,168168
15,,224224,,195203,
16,177183,222222,220224,187187,
16,173173,222222,,185185,160160
16,169173,224224,,187187,
16,169173,222224,,185185,
16,169183,228228,,195203,
16,173173,222228,,187187,
16,169173,222222,,185185,184184
16,173195,222222,228230,187203,
16,169173,224224,220228,195203,
16,169183,222222,220224,195203,176192
16,173173,224230,220224,187187,152152
16,169173,222230,220226,187187,
16,169173,222230,220228,187203,
16,169183,222222,,185185,
16,169169,224224,,187187,150150
17,171171,,,185195,152170
17,171171,224224,,185193,184184
17,173173,224224,218226,185203,154154
17,173173,220222,,193193,158158
17,169171,224224,224226,195203,
17,171171,228228,220222,185195,154154
17,173173,220220,220222,185195,
17,169169,224224,,185185,
17,171171,224224,,187203,170170
17,169171,224224,,185185,
17,173173,224224,220220,187195,170170
17,171171,224224,,185185,158158
17,171171,224224,,185185,158158
17,169169,224224,,197203,
17,171171,222222,,187195,158158
18,171171,222224,220222,187197,158158
18,171171,224224,,185203,
18,169169,230230,,195203,
18,171171,224224,,203203,150150
18,173173,224224,,185203,
18,173185,220220,,187195,164164
18,171171,224224,,185193,150170
18,171171,224224,,185203,170170
18,173173,224224,,185203,152152
18,171171,222224,,187195,160160
18,173173,222224,,185199,170176
18,195195,224224,,185195,134134
18,169169,220220,,185193,160160
18,171195,224224,226226,185185,172172
18,169185,224224,,199203,
19,171171,,220226,187195,
19,173173,220220,220226,185185,170170
19,169169,220224,224224,185185,156170
19,173173,232232,220224,185185,184184
19,169169,224224,,187201,170170
19,171171,230230,222228,185185,166166
19,173173,224224,220224,187187,154154
19,173173,224224,,185185,154154
19,171173,222222,,185203,170184
19,169169,224224,,185185,
19,173173,,220226,185185,150168
19,171171,222222,222224,187195,
19,173195,224224,,185185,170170
19,169169,224224,220224,187187,
19,171171,224224,220226,197197,
19,173173,224224,224224,187187,
19,171173,224224,224226,187187,184184
19,165171,224224,220220,185185,186188
19,173183,222224,220220,187221,168168
19,171171,224224,216226,185189,184184
20,171171,230230,,193193,160160
20,171171,224224,218222,,158158
20,169169,230230,222228,187187,174174
20,173173,230230,222224,195201,154170
20,169169,224224,222222,193193,160174
20,171173,220220,218218,185197,170170
20,171171,224224,218224,195195,160160
20,171171,224224,220224,185195,170170
20,171171,224224,222224,185195,170170
20,165165,224230,188188,187195,166172
20,169169,224224,222224,187187,
20,169169,224224,224224,187195,158170
